# Species	Genes	Alg.-Conn.	Arkhipov1_protein.faa	Arkhipov2_protein.faa	Arkhipov3_protein.faa	Arkhipov4_protein.faa	Arkhipov5_protein.faa
2	2	1	CDI88065.1	*	*	*	XP_013350563.1
2	2	1	CDI88073.1	*	*	*	XP_037878071.1
3	3	0.735	*	XP_013432510.1	XP_013251565.1	*	XP_013356880.1
3	3	0.942	*	XP_013432530.1	XP_013249323.1	*	XP_013352582.1
4	4	0.723	*	XP_013432537.1	XP_013252266.1	XP_013337269.1	XP_013353822.1
4	4	0.533	*	XP_013432542.1	XP_013251659.1	XP_013333389.1	XP_013354184.1
4	4	0.355	*	XP_013432546.1	XP_013252199.1	XP_013333278.1	XP_013354507.1
4	4	0.848	*	XP_013432548.1	XP_013252197.1	XP_013333280.1	XP_013354345.1
3	3	0.817	*	XP_013432591.1	XP_013248015.1	*	XP_013351435.1
3	3	0.683	*	XP_013432609.1	XP_013252026.1	*	XP_013354997.1
2	2	1	CDI88050.1	*	*	*	XP_013350289.1
3	3	0.876	*	XP_013432624.1	*	XP_013334105.1	XP_013354170.1
2	2	1	*	XP_013432664.1	*	*	XP_013350283.1
4	4	0.602	*	XP_013432666.1	XP_013249185.1	XP_013336363.1	XP_013350285.1
3	3	0.853	*	XP_013432728.1	XP_013248738.1	*	XP_013355441.1
3	3	0.627	*	XP_013432738.1	*	XP_013333817.1	XP_013355219.1
3	3	0.847	*	XP_013432754.1	*	XP_013336301.1	XP_013351945.1
2	2	1	*	XP_013432760.1	*	*	XP_013351250.1
4	4	0.833	*	XP_013432761.1	XP_013248542.1	XP_013336116.1	XP_013352780.1
4	4	0.446	*	XP_013432778.1	XP_013246886.1	XP_013333493.1	XP_013351011.1
3	3	0.524	*	XP_013432811.1	XP_013252900.1	*	XP_013355347.1
3	3	0.858	*	XP_013432847.1	XP_013251460.1	*	XP_013352074.1
3	3	0.852	*	XP_013432898.1	XP_013246777.1	*	XP_037878706.1
4	4	0.44	*	XP_013432906.1	XP_013251976.1	XP_013334730.1	XP_013350331.1
3	3	0.595	*	XP_013432908.1	XP_013251974.1	*	XP_037878303.1
2	2	1	CDI87832.1	*	*	*	XP_013351851.1
2	2	1	CDI87730.1	*	*	*	XP_037878906.1
5	5	0.702	CDI87731.1	XP_013434290.1	XP_013246955.1	XP_013337993.1	XP_013352288.1
5	5	0.6	CDI87732.1	XP_013434289.1	XP_013246954.1	XP_013337992.1	XP_013352048.1
5	5	0.725	CDI87736.1	XP_013434686.1	XP_013249845.1	XP_013337541.1	XP_013357259.1
2	2	1	CDI87743.1	*	*	*	XP_013351653.1
5	5	0.89	CDI87745.1	XP_013437795.1	XP_013252462.1	XP_013333510.1	XP_037878213.1
4	4	0.45	CDI87747.1	XP_013432606.1	*	XP_013333971.1	XP_013354410.1
5	5	0.691	CDI87751.1	XP_013439409.1	XP_013251773.1	XP_013338282.1	XP_013352854.1
5	5	0.343	CDI87767.1	XP_013436233.1	XP_013251648.1	XP_013333659.1	XP_013352567.1
2	2	1	CDI87768.1	*	*	*	XP_037878924.1
2	2	1	CDI87790.1	*	*	*	XP_013352933.1
4	4	0.812	CDI87791.1	*	XP_013249475.1	XP_013333103.1	XP_013356340.1
5	5	0.418	CDI87802.1	XP_013432954.1	XP_013246759.1	XP_013335894.1	XP_037877937.1
5	5	0.776	CDI87820.1	XP_013432829.1	XP_013249384.1	XP_013338609.1	XP_013350979.1
4	4	0.758	CDI87826.1	XP_013440321.1	XP_013249808.1	*	XP_013356072.1
3	3	0.865	*	XP_013432912.1	*	XP_013338012.1	XP_013358043.1
2	2	1	CDI87834.1	*	*	*	XP_013357894.1
5	5	0.747	CDI87843.1	XP_013434902.1	XP_013249615.1	XP_013336419.1	XP_013357960.1
2	2	1	CDI87845.1	*	*	*	XP_013354213.1
3	3	0.851	CDI87846.1	*	*	XP_013336618.1	XP_037879018.1
5	5	0.475	CDI87864.1	XP_013439073.1	XP_013252048.1	XP_013336814.1	XP_013350175.1
4	4	0.895	CDI87868.1	*	XP_013250202.1	XP_013335175.1	XP_013349624.1
5	5	0.804	CDI87896.1	XP_013438518.1	XP_013250747.1	XP_013333541.1	XP_013351543.1
2	2	1	CDI87937.1	*	*	*	XP_013356301.1
5	5	0.706	CDI87944.1	XP_013434294.1	XP_013246958.1	XP_013337995.1	XP_037878333.1
4	4	0.535	CDI87981.1	*	XP_013249948.1	XP_013337937.1	XP_037878121.1
3	3	0.851	CDI87982.1	XP_013437569.1	*	*	XP_013353651.1
5	5	0.683	CDI87997.1	XP_013438896.1	XP_013251703.1	XP_013333701.1	XP_013352643.1
2	2	1	CDI88020.1	*	*	*	XP_013357359.1
2	2	1	CDI88039.1	*	*	*	XP_013356220.1
2	2	1	*	XP_013434158.1	*	*	XP_013351501.1
4	4	0.618	*	XP_013433676.1	XP_013246860.1	XP_013333869.1	XP_013357546.1
3	3	0.621	*	XP_013433678.1	XP_013250310.1	*	XP_013354722.1
2	2	1	*	XP_013433796.1	*	*	XP_013353816.1
4	4	0.791	*	XP_013433797.1	XP_013248448.1	XP_013332965.1	XP_013353815.1
3	3	0.846	*	XP_013433810.1	XP_013249536.1	*	XP_013358034.1
4	4	0.428	*	XP_013433918.1	XP_013252305.1	XP_013332953.1	XP_013350871.1
2	2	1	*	XP_013433935.1	*	*	XP_013350678.1
4	4	0.845	*	XP_013433966.1	XP_013248530.1	XP_013336985.1	XP_013356671.1
4	4	0.615	*	XP_013433967.1	XP_013252244.1	XP_013334281.1	XP_013350646.1
2	2	1	*	XP_013433973.1	*	*	XP_013355468.1
4	4	0.818	*	XP_013434018.1	XP_013252393.1	XP_013332810.1	XP_037878910.1
4	4	0.6	*	XP_013434021.1	XP_013250917.1	XP_013333698.1	XP_013353245.1
4	4	0.236	*	XP_013434051.1	XP_013250741.1	XP_013337720.1	XP_013354142.1
4	4	0.799	*	XP_013434080.1	XP_013252641.1	XP_013336497.1	XP_013356266.1
4	4	0.869	*	XP_013434084.1	XP_013252644.1	XP_013336500.1	XP_013356262.1
2	2	1	*	XP_013433561.1	*	*	XP_013352692.1
3	3	0.916	*	XP_013434169.1	*	XP_013338581.1	XP_013354058.1
3	3	0.774	*	XP_013434186.1	XP_013247069.1	*	XP_013351888.1
4	4	0.708	*	XP_013434204.1	XP_013246903.1	XP_013336164.1	XP_037878487.1
2	2	1	*	XP_013434237.1	*	*	XP_037878693.1
2	2	1	*	XP_013434238.1	*	*	XP_037878180.1
3	3	0.502	*	XP_013434252.1	XP_013249338.1	*	XP_013352324.1
2	2	1	*	XP_013434271.1	*	*	XP_013349461.1
4	4	0.788	*	XP_013434291.1	XP_013246956.1	XP_013337994.1	XP_013352917.1
4	4	0.584	*	XP_013434301.1	XP_013250670.1	XP_013335588.1	XP_013349478.1
4	4	0.526	*	XP_013434305.1	XP_013252617.1	XP_013335905.1	XP_013356725.1
4	4	0.787	*	XP_013434308.1	XP_013252620.1	XP_013335908.1	XP_013356722.1
3	3	0.579	*	XP_013434350.1	XP_013246533.1	*	XP_013350321.1
4	4	0.708	*	XP_013434355.1	XP_013247054.1	XP_013335701.1	XP_013358068.1
4	4	0.76	*	XP_013434379.1	XP_013250293.1	XP_013337366.1	XP_013355822.1
3	3	0.684	*	XP_013433218.1	XP_013248400.1	*	XP_013351452.1
3	3	0.918	*	XP_013432914.1	XP_013247316.1	*	XP_013353444.1
2	2	1	*	XP_013432916.1	*	*	XP_037878325.1
4	4	0.894	*	XP_013432955.1	XP_013251609.1	XP_013338567.1	XP_013354550.1
3	3	0.412	*	XP_013432974.1	XP_013246792.1	*	XP_013353980.1
3	3	0.738	*	XP_013432980.1	XP_013246893.1	*	XP_013351456.1
4	4	0.648	*	XP_013433010.1	XP_013250609.1	XP_013334779.1	XP_013351131.1
3	3	0.481	*	XP_013433037.1	*	XP_013336386.1	XP_013350269.1
2	2	1	*	XP_013433040.1	*	*	XP_013354081.1
4	4	0.754	*	XP_013433066.1	XP_013251263.1	XP_013337705.1	XP_037878445.1
4	4	0.786	*	XP_013433145.1	XP_013250243.1	XP_013335265.1	XP_013354868.1
2	2	1	*	XP_013433161.1	*	*	XP_013351268.1
2	2	1	*	XP_013433178.1	*	*	XP_013355638.1
2	2	1	*	XP_013433199.1	*	*	XP_013357053.1
2	2	1	*	XP_013433203.1	*	*	XP_013357261.1
2	2	1	CDI87725.1	*	*	*	XP_013355453.1
3	3	0.888	*	XP_013433227.1	XP_013252906.1	*	XP_013354792.1
4	4	0.536	*	XP_013433291.1	XP_013252381.1	XP_013333142.1	XP_013349591.1
4	4	0.599	*	XP_013433327.1	XP_013247841.1	XP_013335712.1	XP_013350926.1
3	3	0.725	*	XP_013433348.1	XP_013251299.1	*	XP_037878386.1
4	4	0.498	*	XP_013433350.1	XP_013251301.1	XP_013335117.1	XP_013351573.1
4	4	0.924	*	XP_013433377.1	XP_013248142.1	XP_013338123.1	XP_013352312.1
4	4	0.799	*	XP_013433403.1	XP_013247067.1	XP_013333109.1	XP_013356346.1
3	3	0.8	*	XP_013433436.1	XP_013247780.1	*	XP_013352237.1
4	4	0.814	*	XP_013433477.1	XP_013246624.1	XP_013332614.1	XP_013350538.1
3	3	0.891	*	XP_013433490.1	*	XP_013338139.1	XP_037878208.1
4	4	0.946	*	XP_013433511.1	XP_013249780.1	XP_013336437.1	XP_013349824.1
4	4	0.716	*	XP_013433516.1	XP_013249207.1	XP_013336433.1	XP_013351983.1
4	4	0.903	*	XP_013433522.1	XP_013247279.1	XP_013335379.1	XP_013350904.1
2	2	1	*	XP_013433523.1	*	*	XP_013350902.1
5	5	0.633	CDI87152.1	XP_013436727.1	XP_013252276.1	XP_013336592.1	XP_013357151.1
5	5	0.596	CDI87089.1	XP_013440705.1	XP_013247918.1	XP_013333183.1	XP_013356975.1
4	4	0.452	CDI87090.1	*	XP_013247917.1	XP_013333186.1	XP_013356976.1
4	4	0.582	CDI87091.1	*	XP_013247916.1	XP_013333185.1	XP_013356977.1
5	5	0.821	CDI87097.1	XP_013432769.1	XP_013248551.1	XP_013336124.1	XP_037878897.1
5	5	0.708	CDI87098.1	XP_013432767.1	XP_013248550.1	XP_013336123.1	XP_013356285.1
5	5	0.699	CDI87099.1	XP_013432768.1	XP_013248549.1	XP_013336122.1	XP_013356286.1
5	5	0.821	CDI87100.1	XP_013432766.1	XP_013248547.1	XP_013336121.1	XP_013356287.1
5	5	0.828	CDI87101.1	XP_013432765.1	XP_013248546.1	XP_013336120.1	XP_013352776.1
5	5	0.371	CDI87102.1	XP_013432764.1	XP_013248545.1	XP_013336119.1	XP_013352777.1
5	5	0.511	CDI87103.1	XP_013432762.1	XP_013248543.1	XP_013336117.1	XP_013352779.1
5	5	0.771	CDI87118.1	XP_013438069.1	XP_013247912.1	XP_013332770.1	XP_013353856.1
5	5	0.813	CDI87119.1	XP_013438070.1	XP_013247913.1	XP_013332768.1	XP_013353855.1
5	5	0.797	CDI87133.1	XP_013432518.1	XP_013247469.1	XP_013335946.1	XP_013358071.1
5	5	0.733	CDI87136.1	XP_013432522.1	XP_013247467.1	XP_013335950.1	XP_037879060.1
5	5	0.497	CDI87148.1	XP_013434478.1	XP_013251447.1	XP_013333176.1	XP_013353462.1
5	5	0.758	CDI87088.1	XP_013440704.1	XP_013247919.1	XP_013333184.1	XP_013350945.1
3	3	0.652	CDI87196.1	*	*	XP_013335104.1	XP_013351408.1
4	4	0.359	CDI87198.1	XP_013438959.1	*	XP_013335106.1	XP_037878172.1
5	5	0.386	CDI87207.1	XP_013440875.1	XP_013250382.1	XP_013334439.1	XP_037878518.1
4	4	0.867	CDI87225.1	*	XP_013248295.1	XP_013337829.1	XP_013354010.1
5	5	0.857	CDI87228.1	XP_013440388.1	XP_013248297.1	XP_013337831.1	XP_013353274.1
3	3	0.976	CDI87232.1	*	*	XP_013334989.1	XP_037878852.1
4	4	0.824	CDI87233.1	*	XP_013251691.1	XP_013334988.1	XP_037878854.1
3	3	0.512	CDI87241.1	*	XP_013247784.1	*	XP_013355175.1
5	5	0.419	CDI87262.1	XP_013433398.1	XP_013249477.1	XP_013333105.1	XP_013356343.1
5	5	0.417	CDI87266.1	XP_013433402.1	XP_013247068.1	XP_013333108.1	XP_013356345.1
5	5	0.832	CDI87287.1	XP_013440884.1	XP_013250367.1	XP_013337504.1	XP_013350713.1
4	4	0.653	CDI87291.1	XP_013435695.1	XP_013250360.1	*	XP_013352403.1
2	2	1	CDI87293.1	*	*	*	XP_013353285.1
2	2	1	CDI87299.1	*	*	*	XP_013354641.1
3	3	0.603	CDI87056.1	*	XP_013251630.1	*	XP_037878078.1
5	5	0.86	CDI86936.1	XP_013433088.1	XP_013252653.1	XP_013336626.1	XP_037878002.1
5	5	0.799	CDI86937.1	XP_013433087.1	XP_013252652.1	XP_013336627.1	XP_037878003.1
3	3	0.615	CDI86943.1	*	XP_013248025.1	*	XP_013352200.1
5	5	0.585	CDI86960.1	XP_013433855.1	XP_013252856.1	XP_013336378.1	XP_037877893.1
5	5	0.701	CDI86970.1	XP_013433418.1	XP_013252401.1	XP_013338204.1	XP_013356653.1
4	4	0.497	CDI86972.1	XP_013438205.1	*	XP_013335776.1	XP_013357909.1
5	5	0.342	CDI87001.1	XP_013434610.1	XP_013249984.1	XP_013335137.1	XP_013349692.1
2	2	1	CDI87014.1	*	*	*	XP_013353470.1
5	5	0.492	CDI87026.1	XP_013439807.1	XP_013251523.1	XP_013338526.1	XP_037878382.1
5	5	0.357	CDI87046.1	XP_013437075.1	XP_013246771.1	XP_013333501.1	XP_013353379.1
5	5	0.513	CDI87047.1	XP_013437076.1	XP_013246770.1	XP_013333503.1	XP_013354464.1
5	5	0.725	CDI87049.1	XP_013437078.1	XP_013246767.1	XP_013333504.1	XP_013353734.1
5	5	0.834	CDI87050.1	XP_013437079.1	XP_013246766.1	XP_013337298.1	XP_013353735.1
5	5	0.779	CDI87053.1	XP_013437084.1	XP_013246762.1	XP_013337301.1	XP_013358086.1
2	2	1	CDI87301.1	*	*	*	XP_013351130.1
5	5	0.419	CDI87059.1	XP_013433321.1	XP_013247595.1	XP_013335990.1	XP_037878035.1
5	5	0.419	CDI87069.1	XP_013435683.1	XP_013251868.1	XP_013333095.1	XP_013349772.1
3	3	0.713	CDI87075.1	XP_013437791.1	*	*	XP_013353739.1
5	5	0.588	CDI87076.1	XP_013437380.1	XP_013247118.1	XP_013335475.1	XP_037877953.1
5	5	0.725	CDI87078.1	XP_013440698.1	XP_013252359.1	XP_013333200.1	XP_013350935.1
5	5	0.796	CDI87079.1	XP_013440715.1	XP_013252360.1	XP_013333199.1	XP_013350936.1
5	5	0.824	CDI87080.1	XP_013440714.1	XP_013252355.1	XP_013333198.1	XP_013350937.1
5	5	0.748	CDI87081.1	XP_013440713.1	XP_013252354.1	XP_013333197.1	XP_013350938.1
5	5	0.659	CDI87082.1	XP_013440706.1	XP_013252353.1	XP_013333196.1	XP_013350939.1
5	5	0.59	CDI87083.1	XP_013440707.1	XP_013252352.1	XP_013333195.1	XP_013350940.1
5	5	0.547	CDI87084.1	XP_013440708.1	XP_013252351.1	XP_013333194.1	XP_013350941.1
5	5	0.804	CDI87085.1	XP_013440710.1	XP_013252349.1	XP_013333191.1	XP_013350942.1
5	5	0.771	CDI87086.1	XP_013440711.1	XP_013247922.1	XP_013333190.1	XP_013350943.1
5	5	0.766	CDI87087.1	XP_013440712.1	XP_013247920.1	XP_013333187.1	XP_013350944.1
5	5	0.584	CDI87599.1	XP_013438798.1	XP_013250681.1	XP_013337150.1	XP_013349850.1
5	5	0.851	CDI87494.1	XP_013432849.1	XP_013251455.1	XP_013334838.1	XP_013355541.1
5	5	0.819	CDI87503.1	XP_013439261.1	XP_013253216.1	XP_013335078.1	XP_013354003.1
5	5	0.448	CDI87505.1	XP_013439259.1	XP_013253218.1	XP_013335076.1	XP_013355249.1
5	5	0.575	CDI87506.1	XP_013436076.1	XP_013250290.1	XP_013335466.1	XP_037878590.1
5	5	0.782	CDI87516.1	XP_013437818.1	XP_013250614.1	XP_013337116.1	XP_037877877.1
5	5	0.705	CDI87518.1	XP_013437816.1	XP_013250616.1	XP_013337117.1	XP_037877879.1
5	5	0.692	CDI87519.1	XP_013437815.1	XP_013250617.1	XP_013337118.1	XP_037877881.1
5	5	0.592	CDI87520.1	XP_013437814.1	XP_013250618.1	XP_013337119.1	XP_037877882.1
5	5	0.708	CDI87521.1	XP_013437813.1	XP_013250619.1	XP_013337120.1	XP_037877883.1
5	5	0.879	CDI87523.1	XP_013437811.1	XP_013250622.1	XP_013337122.1	XP_037877885.1
5	5	0.558	CDI87542.1	XP_013439811.1	XP_013248388.1	XP_013333839.1	XP_013350696.1
5	5	0.764	CDI87543.1	XP_013439804.1	XP_013248387.1	XP_013334986.1	XP_013353818.1
2	2	1	CDI87561.1	*	*	*	XP_013351868.1
3	3	0.815	CDI87573.1	*	XP_013251346.1	*	XP_013351287.1
5	5	0.798	CDI87585.1	XP_013438375.1	XP_013249165.1	XP_013337390.1	XP_013350868.1
5	5	0.705	CDI87491.1	XP_013432858.1	XP_013251452.1	XP_013333348.1	XP_013355544.1
5	5	0.825	CDI87604.1	XP_013436486.1	XP_013247931.1	XP_013338091.1	XP_013356198.1
2	2	1	CDI87608.1	*	*	*	XP_013357706.1
5	5	0.622	CDI87619.1	XP_013440399.1	XP_013252427.1	XP_013333644.1	XP_037878969.1
5	5	0.832	CDI87620.1	XP_013440400.1	XP_013252426.1	XP_013333645.1	XP_037878968.1
4	4	0.546	CDI87623.1	*	XP_013252423.1	XP_013333648.1	XP_037878791.1
5	5	0.858	CDI87630.1	XP_013438930.1	XP_013250352.1	XP_013334356.1	XP_013357677.1
2	2	1	CDI87640.1	*	*	*	XP_013354418.1
5	5	0.375	CDI87664.1	XP_013438180.1	XP_013249878.1	XP_013335372.1	XP_037877981.1
5	5	0.674	CDI87677.1	XP_013440193.1	XP_013250928.1	XP_013338544.1	XP_013350592.1
4	4	0.768	CDI87679.1	*	XP_013251788.1	XP_013335934.1	XP_013357448.1
3	3	0.757	CDI87701.1	*	XP_013252174.1	*	XP_013358000.1
5	5	0.205	CDI87704.1	XP_013435928.1	XP_013249741.1	XP_013334070.1	XP_037878119.1
2	2	1	CDI87721.1	*	*	*	XP_013355386.1
4	4	0.519	CDI87724.1	XP_013440716.1	XP_013251468.1	*	XP_013355710.1
5	5	0.525	CDI87408.1	XP_013434244.1	XP_013252136.1	XP_013338466.1	XP_037878773.1
5	5	0.832	CDI87320.1	XP_013432694.1	XP_013247380.1	XP_013337091.1	XP_013356899.1
5	5	0.906	CDI87321.1	XP_013432693.1	XP_013247379.1	XP_013337090.1	XP_013356900.1
5	5	0.794	CDI87322.1	XP_013432689.1	XP_013247378.1	XP_013337981.1	XP_013356901.1
5	5	0.684	CDI87324.1	XP_013432692.1	XP_013247376.1	XP_013337979.1	XP_013356902.1
4	4	0.434	CDI87331.1	XP_013434669.1	XP_013252006.1	*	XP_013350088.1
5	5	0.316	CDI87345.1	XP_013440110.1	XP_013250042.1	XP_013333451.1	XP_013355402.1
4	4	0.862	CDI87348.1	*	XP_013250038.1	XP_013337732.1	XP_013351180.1
4	4	0.612	CDI87374.1	*	XP_013252498.1	XP_013333691.1	XP_013351309.1
5	5	0.404	CDI87377.1	XP_013432885.1	XP_013249760.1	XP_013335631.1	XP_013352915.1
5	5	0.412	CDI87378.1	XP_013432884.1	XP_013249759.1	XP_013335630.1	XP_013356528.1
4	4	0.602	CDI87396.1	XP_013434671.1	*	XP_013337473.1	XP_013357117.1
5	5	0.802	CDI87401.1	XP_013434240.1	XP_013252141.1	XP_013338460.1	XP_037878148.1
5	5	0.751	CDI87403.1	XP_013436519.1	XP_013252139.1	XP_013338462.1	XP_037878179.1
5	5	0.784	CDI87405.1	XP_013436517.1	XP_013252137.1	XP_013338464.1	XP_037878775.1
4	4	0.364	*	XP_013434380.1	XP_013247829.1	XP_013337367.1	XP_013351957.1
3	3	0.82	CDI87409.1	*	XP_013252135.1	*	XP_013352302.1
5	5	0.881	CDI87410.1	XP_013434249.1	XP_013252134.1	XP_013338459.1	XP_013352301.1
5	5	0.703	CDI87415.1	XP_013434234.1	XP_013252132.1	XP_013338456.1	XP_037878823.1
4	4	0.863	CDI87419.1	XP_013435371.1	*	XP_013335040.1	XP_013354449.1
4	4	0.572	CDI87421.1	*	XP_013247550.1	XP_013335042.1	XP_013350552.1
5	5	0.814	CDI87441.1	XP_013436602.1	XP_013246657.1	XP_013333975.1	XP_013355022.1
5	5	0.435	CDI87445.1	XP_013436598.1	XP_013246654.1	XP_013333978.1	XP_013350355.1
5	5	0.794	CDI87465.1	XP_013439911.1	XP_013250495.1	XP_013335229.1	XP_013351878.1
5	5	0.849	CDI87466.1	XP_013439910.1	XP_013250494.1	XP_013336465.1	XP_037878182.1
5	5	0.589	CDI87467.1	XP_013439913.1	XP_013250493.1	XP_013336464.1	XP_013351804.1
5	5	0.492	CDI87487.1	XP_013437325.1	XP_013247935.1	XP_013338087.1	XP_013354089.1
4	4	0.491	CDI87488.1	*	XP_013251449.1	XP_013333345.1	XP_013355547.1
4	4	0.917	CDI87489.1	*	XP_013251450.1	XP_013333346.1	XP_013355546.1
4	4	0.865	CDI87490.1	*	XP_013251451.1	XP_013333347.1	XP_013355545.1
4	4	0.799	*	XP_013438396.1	XP_013248846.1	XP_013334210.1	XP_013351197.1
4	4	0.513	*	XP_013438075.1	XP_013249729.1	XP_013334224.1	XP_013358045.1
3	3	0.449	*	XP_013438087.1	XP_013250653.1	*	XP_013356476.1
3	3	0.649	*	XP_013438093.1	XP_013246906.1	*	XP_013350097.1
2	2	1	*	XP_013438127.1	*	*	XP_013357480.1
4	4	0.399	*	XP_013438132.1	XP_013246688.1	XP_013337220.1	XP_013355062.1
4	4	0.675	*	XP_013438166.1	XP_013251982.1	XP_013335524.1	XP_037878200.1
4	4	0.767	*	XP_013438171.1	XP_013251985.1	XP_013335618.1	XP_013355015.1
3	3	0.531	*	XP_013438172.1	XP_013248975.1	*	XP_013355017.1
4	4	0.679	*	XP_013438228.1	XP_013249041.1	XP_013333066.1	XP_037878530.1
4	4	0.449	*	XP_013438236.1	XP_013248520.1	XP_013333335.1	XP_013350319.1
3	3	0.796	*	XP_013438284.1	XP_013253295.1	*	XP_013351274.1
4	4	0.562	*	XP_013438315.1	XP_013251921.1	XP_013337987.1	XP_013355132.1
3	3	0.881	*	XP_013438354.1	XP_013251247.1	*	XP_013352611.1
4	4	0.665	*	XP_013438362.1	XP_013250870.1	XP_013337612.1	XP_013349585.1
3	3	0.905	*	XP_013438393.1	XP_013248460.1	*	XP_013354644.1
4	4	0.319	*	XP_013438072.1	XP_013250986.1	XP_013332766.1	XP_013353853.1
4	4	0.731	*	XP_013438406.1	XP_013248503.1	XP_013338405.1	XP_037878765.1
2	2	1	*	XP_013438441.1	*	*	XP_013354753.1
2	2	1	*	XP_013438463.1	*	*	XP_013356938.1
2	2	1	*	XP_013438491.1	*	*	XP_013350749.1
2	2	1	*	XP_013438514.1	*	*	XP_013356229.1
3	3	0.66	*	XP_013438527.1	XP_013252919.1	*	XP_013352540.1
4	4	0.834	*	XP_013438531.1	XP_013250418.1	XP_013335558.1	XP_013356035.1
2	2	1	*	XP_013438649.1	*	*	XP_013351426.1
3	3	0.232	*	XP_013438694.1	XP_013247070.1	*	XP_013357724.1
4	4	0.666	*	XP_013438710.1	XP_013250697.1	XP_013336350.1	XP_013353343.1
4	4	0.756	*	XP_013438719.1	XP_013253061.1	XP_013337884.1	XP_013350008.1
4	4	0.809	*	XP_013438720.1	XP_013253062.1	XP_013337883.1	XP_013350009.1
4	4	0.662	*	XP_013438721.1	XP_013253063.1	XP_013337597.1	XP_013350011.1
2	2	1	*	XP_013438744.1	*	*	XP_013354952.1
2	2	1	*	XP_013437876.1	*	*	XP_013357819.1
4	4	0.424	*	XP_013437664.1	XP_013250504.1	XP_013335367.1	XP_013351290.1
4	4	0.856	*	XP_013437693.1	XP_013252187.1	XP_013334830.1	XP_013357368.1
4	4	0.521	*	XP_013437694.1	XP_013246937.1	XP_013334829.1	XP_013350162.1
2	2	1	*	XP_013437701.1	*	*	XP_013357486.1
3	3	0.844	*	XP_013437706.1	*	XP_013334834.1	XP_013349962.1
4	4	0.756	*	XP_013437709.1	XP_013252180.1	XP_013334836.1	XP_013352908.1
2	2	1	*	XP_013437710.1	*	*	XP_037878296.1
4	4	0.826	*	XP_013437746.1	XP_013248426.1	XP_013332919.1	XP_013353453.1
4	4	0.512	*	XP_013437793.1	XP_013252346.1	XP_013337550.1	XP_013351857.1
2	2	1	*	XP_013437797.1	*	*	XP_037878833.1
3	3	0.643	*	XP_013437835.1	XP_013251383.1	*	XP_013351329.1
2	2	1	*	XP_013437839.1	*	*	XP_013351860.1
4	4	0.597	*	XP_013437840.1	XP_013249899.1	XP_013332799.1	XP_013351861.1
2	2	1	*	XP_013437851.1	*	*	XP_013357051.1
4	4	0.889	*	XP_013437855.1	XP_013251545.1	XP_013334692.1	XP_013355376.1
4	4	0.448	*	XP_013438749.1	XP_013247213.1	XP_013333732.1	XP_013350195.1
2	2	1	*	XP_013437927.1	*	*	XP_013351326.1
3	3	0.32	*	XP_013437929.1	*	XP_013334864.1	XP_037878463.1
2	2	1	*	XP_013437931.1	*	*	XP_013349802.1
4	4	0.521	*	XP_013437957.1	XP_013253156.1	XP_013337856.1	XP_013355785.1
2	2	1	*	XP_013437967.1	*	*	XP_013350566.1
3	3	0.762	*	XP_013437968.1	XP_013251863.1	*	XP_013350567.1
3	3	0.897	*	XP_013437969.1	XP_013247399.1	*	XP_013350568.1
4	4	0.234	*	XP_013437975.1	XP_013251859.1	XP_013335993.1	XP_013358042.1
2	2	1	*	XP_013437980.1	*	*	XP_013354206.1
4	4	0.806	*	XP_013437985.1	XP_013250380.1	XP_013334438.1	XP_037878519.1
4	4	0.627	*	XP_013438024.1	XP_013251850.1	XP_013335312.1	XP_013351107.1
4	4	0.564	*	XP_013438038.1	XP_013253003.1	XP_013332746.1	XP_013349676.1
4	4	0.557	*	XP_013438051.1	XP_013249710.1	XP_013337136.1	XP_013350676.1
4	4	0.62	*	XP_013438061.1	XP_013250403.1	XP_013337277.1	XP_013356644.1
3	3	0.711	*	XP_013440001.1	XP_013253322.1	*	XP_037878348.1
2	2	1	*	XP_013439537.1	*	*	XP_037878367.1
2	2	1	*	XP_013439564.1	*	*	XP_013355690.1
2	2	1	*	XP_013439616.1	*	*	XP_013349868.1
4	4	0.794	*	XP_013439690.1	XP_013249926.1	XP_013333585.1	XP_013350530.1
4	4	0.628	*	XP_013439725.1	XP_013251549.1	XP_013332898.1	XP_013349449.1
3	3	0.657	*	XP_013439772.1	*	XP_013334133.1	XP_013354043.1
4	4	0.879	*	XP_013439777.1	XP_013249836.1	XP_013337182.1	XP_037878327.1
4	4	0.939	*	XP_013439778.1	XP_013249837.1	XP_013337181.1	XP_037878328.1
4	4	0.785	*	XP_013439832.1	XP_013247987.1	XP_013334322.1	XP_013350336.1
2	2	1	*	XP_013439856.1	*	*	XP_013357991.1
2	2	1	*	XP_013439878.1	*	*	XP_013352460.1
4	4	0.469	*	XP_013439891.1	XP_013251680.1	XP_013333221.1	XP_013355531.1
2	2	1	*	XP_013439896.1	*	*	XP_013351641.1
2	2	1	*	XP_013439965.1	*	*	XP_013351624.1
3	3	0.721	*	XP_013440000.1	XP_013253321.1	*	XP_037878349.1
4	4	0.859	*	XP_013439510.1	XP_013251646.1	XP_013338391.1	XP_013355893.1
4	4	0.656	*	XP_013440022.1	XP_013253340.1	XP_013334414.1	XP_037878251.1
4	4	0.84	*	XP_013440028.1	XP_013253347.1	XP_013334420.1	XP_013351608.1
4	4	0.375	*	XP_013440030.1	XP_013253349.1	XP_013334422.1	XP_013356093.1
